opportunity_id,sales_agent,manager,regional_office,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,Moses Frase,Dustin Brinkmann,Central,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054
Z063OYW0,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514
EC4QE1BX,Darcel Schlecht,Melvin Marxen,Central,MG Special,Cancity,Won,2016-10-25,2017-03-07,50
MV1LWRNH,Moses Frase,Dustin Brinkmann,Central,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588
PE84CX4O,Zane Levy,Summer Sewald,West,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517
ZNBS69V1,Anna Snelling,Dustin Brinkmann,Central,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49
9ME3374G,Vicki Laflamme,Celia Rouche,West,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57
7GN8Q4LL,Markita Hansen,Celia Rouche,West,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601
OLK9LKZB,Niesha Huffines,Melvin Marxen,Central,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026
HAXMC4IX,James Ascencio,Summer Sewald,West,MG Advanced,,Engaging,2016-11-03,,
NL3JZH1Z,Anna Snelling,Dustin Brinkmann,Central,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53
KWVA7VR1,Gladys Colclough,Melvin Marxen,Central,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0
S8DX3XOU,James Ascencio,Summer Sewald,West,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169
ENB2XD8G,Maureen Marcano,Summer Sewald,West,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631
09YE9QOV,Hayden Neloms,Celia Rouche,West,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393
3F5MZNEH,Rosalina Dieter,Celia Rouche,West,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0
M6WEJXC0,Rosalina Dieter,Celia Rouche,West,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284
6PTR7VBR,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Treequote,Won,2016-11-06,2017-03-05,61
902REDPA,Daniell Hammack,Rocco Neubert,East,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0
5J9CMGDV,Elease Gluck,Celia Rouche,West,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46
JJXRR8R6,James Ascencio,Summer Sewald,West,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0
WF4HA5NW,Moses Frase,Dustin Brinkmann,Central,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50
C5K2JP1H,Violet Mclelland,Cara Losch,East,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014
ADRB8OMB,Darcel Schlecht,Melvin Marxen,Central,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561
SBCR987L,Kami Bicknell,Summer Sewald,West,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590
UP409DSB,Maureen Marcano,Summer Sewald,West,MG Advanced,Ganjaflex,Engaging,2016-11-10,,
JSD4APT2,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61
AO9Z2D17,Violet Mclelland,Cara Losch,East,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0
